book_title,book_price,book_url,image_url,published_date,category
The Finance Curse,13.68 ,https://www.bookdepository.com/Finance-Curse-Nicholas-Shaxson/9781784705046?ref=grid-view&qid=1628102690312&sr=1-21,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784705046.jpg,17 Oct 2019,finance
The Long and the Short of It (International edition),11.88 ,https://www.bookdepository.com/Long-Short-It-International-edition-John-Kay/9781781256770?ref=grid-view&qid=1628102690312&sr=1-22,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7812/9781781256770.jpg,01 Dec 2016,finance
Applied Corporate Finance,140.35 ,https://www.bookdepository.com/Applied-Corporate-Finance-Aswath-Damodaran/9781118808931?ref=grid-view&qid=1628102690312&sr=1-23,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1188/9781118808931.jpg,02 Jan 2015,finance
Professional English in Use Finance,28.07 ,https://www.bookdepository.com/Professional-English-Use-Finance-Ian-MacKenzie/9780521616270?ref=grid-view&qid=1628102690312&sr=1-24,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5216/9780521616270.jpg,03 Jul 2006,finance
The Wisdom of Finance,21.06 ,https://www.bookdepository.com/Wisdom-Finance-Mihir-Desai/9780544911130?ref=grid-view&qid=1628102690312&sr=1-25,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5449/9780544911130.jpg,23 May 2017,finance
ISE Principles of Corporate Finance,95.59 ,https://www.bookdepository.com/ISE-Principles-Corporate-Finance-Richard-Brealey/9781259253331?ref=grid-view&qid=1628102690312&sr=1-26,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2592/9781259253331.jpg,22 Jun 2017,finance
The Law and Practice of International Finance,52.00 ,https://www.bookdepository.com/Law-Practice-International-Finance-Philip-R-Wood/9781847032553?ref=grid-view&qid=1628102690312&sr=1-27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8470/9781847032553.jpg,22 Jan 2008,finance
The Four Pillars of Investing: Lessons for Building a Winning Portfolio,26.77 ,https://www.bookdepository.com/Four-Pillars-Investing-Lessons-for-Building-Winning-Portfolio-William-Bernstein/9780071747059?ref=grid-view&qid=1628102690312&sr=1-28,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0717/9780071747059.jpg,19 May 2011,finance
The Infographic Guide to Personal Finance,17.85 ,https://www.bookdepository.com/Infographic-Guide-Personal-Finance-Michele-Cagan/9781507204665?ref=grid-view&qid=1628102690312&sr=1-29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5072/9781507204665.jpg,01 Jan 2018,finance
The House of Morgan,23.83 ,https://www.bookdepository.com/House-Morgan-Ron-Chernow/9780802144652?ref=grid-view&qid=1628102690312&sr=1-30,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8021/9780802144652.jpg,28 Jan 2010,finance
Red Notice,15.97 ,https://www.bookdepository.com/Red-Notice-Bill-Browder/9781476755748?ref=grid-view&qid=1628102692011&sr=1-31,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4767/9781476755748.jpg,20 Oct 2015,finance
Trading for a Living,65.21 ,https://www.bookdepository.com/Trading-for-Living-Alexander-Elder/9780471592242?ref=grid-view&qid=1628102692011&sr=1-32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4715/9780471592242.jpg,20 Apr 1993,finance
Clever Girl Finance,20.66 ,https://www.bookdepository.com/Clever-Girl-Finance-Bola-Sokunbi/9781119580836?ref=grid-view&qid=1628102692011&sr=1-33,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1195/9781119580836.jpg,25 Jun 2019,finance
